head,tail,relation,label
反应堆冷却剂系统,环路2,include,包含
环路1,1×热段管段+2×冷段管段,include,包含
环路2,1×热段管段+2×冷段管段,include,包含
核岛主管道,反应堆压力容器（RV）,connect,连接
核岛主管道,蒸汽发生器（SG）,connect,连接
核岛主管道,反应堆冷却剂泵,connect,连接
FAHL01,5G,N/A,焊接位置
FAHL01,Ф952.5×82.6,N/A,规格/mm
FAHL01,热段RCS-L001A,N/A,连接管段
FAHL01,RV 热段安全端,N/A,连接设备端
制造厂,原材料采购,N/A,负责
制造厂,原材料验收,N/A,负责
制造厂,本规格书,N/A,依据
制造厂,主管道图纸,N/A,依据
制造厂,主管道制造,N/A,完成
制造厂,SMS-PLOI-V0-001,N/A,依据
制造厂,反应堆主冷却剂管道图册,N/A,依据
制造厂,反应堆主冷却剂管道,N/A,提供
反应堆主冷却剂管道,热段,N/A,包含
反应堆主冷却剂管道,冷段,N/A,包含
反应堆主冷却剂管道,附件,N/A,包含
热段,L001A,N/A,设备位号
热段,L001B,N/A,设备位号
热段,每台机组2根,N/A,数量
冷段,L002A,N/A,设备位号
冷段,L002B,N/A,设备位号
冷段,L002C,N/A,设备位号
冷段,L002D,N/A,设备位号
冷段,每台机组4根,N/A,数量
制造厂,采购方,N/A,有责任通知
通知内容,W控制点,N/A,涉及
通知内容,H控制点,N/A,涉及
通知内容,R控制点,N/A,涉及
控制点,上海核工程研究设计院,N/A,规定方
控制点,产品制造过程,N/A,阶段
制造厂,主管道延伸段,N/A,负责解剖
解剖,本规格书要求,N/A,依据
制造厂,理化试验,N/A,负责实施
制造厂,理化分析,N/A,负责实施
实施内容,规格书,N/A,规定于
制造厂,采购方,N/A,提供支持
制造厂,设计方,N/A,提供支持
支持活动,来厂活动,N/A,类型
制造厂,备品备件,N/A,提供
备品备件,供货合同,N/A,数量规定依据
主管道热段尺寸,Ф952.5 ×82.6(mm),N/A,设备技术参数
主管道冷段尺寸,Ф688.8 ×65.0 (mm),N/A,设备技术参数
设计压力,17.2MPa,N/A,设备技术参数
设计温度,343 ℃,N/A,设备技术参数
介质特性,反应堆冷却剂,N/A,设备技术参数
设计寿命,60年,N/A,设备技术参数
主管道详细尺寸,SMS-PLO1-V0-D01《反应堆主冷却剂管道图册》,N/A,详见
主管道热段和冷段主体,ASME-BPVC-111-NB2000,N/A,材料应满足
主管道热段和冷段主体,SMS-PLO1-VL-001,N/A,材料应满足
主管道热段和冷段主体,本规格书要求,N/A,材料应满足
主管道热段和冷段主体,≤DN25接管座,N/A,不包括
主管道热段和冷段主体,热套管用接管座,N/A,不包括
DN25接管座,SMS-PLO1-VL-003,N/A,材料应满足
DN25接管座,本规格书要求,N/A,材料应满足
热套管用接管座,SMS-PLO1-VL-003,N/A,材料应满足
热套管用接管座,本规格书要求,N/A,材料应满足
稳压器喷雾管勺形内伸件,ASME-BPVC-11,N/A,材料应满足
稳压器喷雾管勺形内伸件,SA-403 WP316LN,N/A,材料应满足
稳压器喷雾管勺形内伸件材料,钴含量≤0.05%,N/A,成分应满足
材料要求冲突,本规格书,N/A,可能存在于
材料要求冲突,引用技术文件,N/A,可能存在于
材料要求冲突,设计方,N/A,解决方
制造厂,提交问题,N/A,责任
问题提交,材料要求与规范矛盾,N/A,条件
问题提交,设计方,N/A,对象
主管道热段和冷段材料,SMS-PLO1-VL-001,N/A,熔炼分析应满足
主管道热段和冷段材料,SMS-PLO1-VL-001,N/A,成品分析应满足
接管座材料,SMS-PLO1-VL-003,N/A,熔炼分析应满足
接管座材料,SMS-PLO1-VL-003,N/A,成品分析应满足
SMS-PLO1-VL-001,反应堆冷却剂管道用316LN不锈钢锻管技术条件,N/A,标准名称
SMS-PLO1-VL-003,反应堆冷却剂管道接管座用316LN不锈钢锻件技术条件,N/A,标准名称
主管道最终表面施工,含低熔点元素的物项,N/A,禁止使用
主管道最终表面施工,含低熔点元素的耗材,N/A,禁止使用
低熔点元素,硫,N/A,包括
低熔点元素,铅,N/A,包括
低熔点元素,铜,N/A,包括
低熔点元素,锡,N/A,包括
低熔点元素,铝,N/A,包括
低熔点元素,锌,N/A,包括
低熔点元素,铋,N/A,包括
使用含低熔点元素物项,需采购方批准,N/A,条件
使用含低熔点元素耗材,需采购方批准,N/A,条件
含卤化物及低熔点元素标记耗材,需采购方批准,N/A,使用条件
不锈钢材料表面卤化物确定方法,SMS-GX-Z0-607,N/A,执行标准
SMS-GX-Z0-607,不锈钢材料表面氯化物和氟化物沾污的确定,N/A,标准名称
制造厂,操作规程,N/A,应编制
操作规程,冶炼工艺,N/A,包括
操作规程,锻造工艺,N/A,包括
操作规程,弯制工艺,N/A,包括
操作规程,热处理工艺,N/A,包括
制造厂,设计方,N/A,应提交
提交对象,操作规程,N/A,为
提交时间,主管道制造前,N/A,在
提交目的,审查,N/A,是
不锈钢冶炼,电炉加炉外精炼,N/A,主要方法
不锈钢冶炼,电渣重熔法,N/A,主要方法
电炉加炉外精炼,氢氧脱碳法,N/A,具体工艺
氢氧脱碳法,AOD,N/A,简称
电炉加炉外精炼,真空氧气脱碳法,N/A,具体工艺
真空氧气脱碳法,VOD,N/A,简称
电渣重熔法,ESR,N/A,简称
不锈钢冶炼,其他相当或更好的工艺,N/A,替代方法
其他相当或更好的工艺,生产厂认为能保证质量,N/A,质量要求
制造厂,详细图纸,N/A,应提交
提交时间,主管道制造前,N/A,在
详细图纸,固溶处理近似尺寸,N/A,需标明
固溶处理近似尺寸,接近主管道成品尺寸,N/A,要求
详细图纸,主加工方向,N/A,需标明
详细图纸,试样取样位置,N/A,需标明
详细图纸,试样取样方向,N/A,需标明
详细图纸,试样标识,N/A,需标明
试样标识,与锻件位置关系,N/A,需包括
试样标识,与端部延长部分位置关系,N/A,需包括
试样标识,与环形存档材料位置关系,N/A,需包括
提交目的,设计方认可,N/A,为
详细图纸,材料质量证明文件,N/A,作为
材料质量证明文件,详细图纸,N/A,组成部分
锻造用钢锭,足够切除量,N/A,头部应有
锻造用钢锭,足够切除量,N/A,尾部应有
切除目的,确保无缩孔,N/A,是
切除目的,确保无严重偏析,N/A,是
主管道,图纸要求锻造,N/A,应按
锻造要求,带接管座的一体式锻件,N/A,是
锻造要求,锻造比大于3.5,N/A,是
其他制造方法,设计方批准,N/A,需经
其他制造方法,材料性能相当或更高,N/A,应确保
材料性能比较基准,锻造材料性能,N/A,是
制造厂,同规格模拟件弯制,N/A,应进行
模拟件弯制,评定合格,N/A,需经
评定结果,采购方认可,N/A,应得到
主管道弯制,固溶处理前,N/A,应在
制造厂,主管道均匀弯曲,N/A,应确保
均匀弯曲,外形要求,N/A,需满足
均匀弯曲,椭圆度要求,N/A,需满足
均匀弯曲,壁厚要求,N/A,需满足
要求依据,SMS-PLOl-VO-DOl图册,N/A,包括
要求依据,本规格书,N/A,包括
弯制工艺,制造厂确定,N/A,由
制造厂,弯制工艺规程,N/A,应提交
提交时间,主管道弯制前,N/A,在
提交形式,书面提交,N/A,为
弯制工艺规程,设计方批准,N/A,需经
主管道弯制,设计方批准后,N/A,前提条件
主管道,固溶处理状态,N/A,完成状态必须为
固溶处理,1040℃,N/A,最低保温温度
固溶处理,1150℃,N/A,最高保温温度
固溶处理,每25mm壁厚至少1小时,N/A,保温时间要求
保温期间,不得超过±10℃,N/A,温度变化限制
温度测量,至少三支热电偶,N/A,使用
热电偶,与主管道接触,N/A,安装要求
温度信号,自动温控设备,N/A,输入
自动温控设备,控制炉温,N/A,功能
自动温控设备,温度变化不超过±10℃,N/A,确保
自动温控设备,温度时间曲线,N/A,应记录
记录要求,热处理全过程,N/A,包括
记录要求,至少三支热电偶数据,N/A,使用
保温结束后,立即浸入水中,N/A,冷却要求
入水时间,不超过5分钟,N/A,限制
冷却要求,3分钟内降至427℃以下,N/A,温度下降要求
池水温度,不高于25℃,N/A,初始要求
池水温度,不高于30℃,N/A,上升限制
制造厂,急冷工艺,N/A,应设计
急冷工艺,确保快速冷却,N/A,目的
热处理过程,保温温度及偏差,N/A,应记录
热处理过程,保温时间,N/A,应记录
热处理过程,加热速率,N/A,应记录
热处理过程,冷却方法,N/A,应记录
记录内容,材料质量证明文件,N/A,列入
制造厂,预先力学试验,N/A,可进行
力学试验,固溶热处理后精加工前,N/A,时间
试验不合格,重新热处理,N/A,处理方式
重新热处理,只允许一次,N/A,次数限制
重新热处理,设计方批准,N/A,需取得
制造厂,重新热处理变形,N/A,应考虑
制造厂,氧化皮形成,N/A,应考虑
变形和氧化皮,机加工去除,N/A,去除方式
机加工,满足尺寸要求,N/A,目的
机加工,满足粗糙度要求,N/A,目的
氧化皮,酸洗,N/A,去除方法
氧化皮,其它适当方法,N/A,去除方法
机加工,固溶处理之前,N/A,应尽可能在
可能导致冷作硬化的机加工,采购方批准,N/A,需经
可能导致冷作硬化的机加工,设计方批准,N/A,需经
切削加工,首选的切割方法,N/A,作为
磨削,备选方案,N/A,作为
机加工,3.7.1节至3.7.3节,N/A,应按要求执行
剪切加工,硬化表层,N/A,会使形成
冲孔加工,硬化表层,N/A,会使形成
剪切加工,除非硬化层被完全除去,N/A,不应使用
冲孔加工,除非硬化层被完全除去,N/A,不应使用
硬化层,切削加工除去,N/A,可通过
硬化层,磨削除去,N/A,可通过
硬化层,固溶处理除去,N/A,可通过
最终机加工后的主管道,SMS-PLOl-VO-DOl图册要求,N/A,应达到
最终机加工后的主管道,本规格书要求,N/A,应达到
切削加工,锋利的刀具,N/A,应使用
加工表面,变色,N/A,不应存在
变色,不良切削加工操作,N/A,原因
不良切削加工操作,过热,N/A,导致
切削精加工的每次进刀量, 0.25mm,N/A,不超过
切削加工表面,有害冷作硬化表层,N/A,应没有
证明方法,金相检验,N/A,是
金相检验,主管道,N/A,取样对象
金相检验报告,采购方审查,N/A,需提交
冷硬化表层,深度超过0.025mm,N/A,有害判定标准
最终表面粗糙度,3.7.4.2节,N/A,控制依据
最终表面粗糙度,订货图纸要求,N/A,应符合
固溶热处理后的磨削处理,预案,N/A,应有
固溶热处理后的磨削处理,采购方认可,N/A,需提交
磨削,固溶处理之前,N/A,应尽可能在
磨削,焊接准备,N/A,仅限于
磨削,无损检测需要,N/A,仅限于
磨削,去除划痕,N/A,仅限于
磨削,去除表面缺陷,N/A,仅限于
磨削,过热导致的变色,N/A,不应引起
加工方法选择,切削加工代替磨削,N/A,优先使用
磨料,未使用过的,N/A,应是
磨料,奥氏体不锈钢使用过的,N/A,或是
磨料,镍基合金使用过的,N/A,或是
磨料,碳化硅,N/A,应为
磨料,氧化铝,N/A,应为
磨料,采购方批准的磨料,N/A,或是
固溶处理后的磨削,采购方认可的书面规程,N/A,应符合
磨削操作,具有实践经验的人员,N/A,应由
最终表面粗糙度控制,方法1,N/A,可选方案
最终表面粗糙度控制,方法2,N/A,可选方案
方法1,逐级细化磨粒打磨,N/A,包含
逐级细化磨粒打磨,清除冷作硬化表层,N/A,目的
磨料更换,前一级痕迹去除,N/A,条件
方法1,最后磨粒尺寸为#120或更细,N/A,要求
方法2,3.9节要求,N/A,执行依据
表面缺陷消除,磨削,N/A,可用方法
磨削消除缺陷,3.7.4.1要求,N/A,必须满足
磨削消除缺陷,3.7.4.2要求,N/A,必须满足
打磨区,平滑过渡,N/A,应满足
打磨区,液体渗透检验,N/A,应进行
打磨后局部厚度,公差范围内,N/A,应保持在
管道内外表面的机加工平整过度角,10°,N/A,最大不超过
主管道附件,通用管座,N/A,包括
主管道附件,勺型件,N/A,包括
主管道附件,DN25接管座,N/A,包括
主管道附件与主管道焊接,SMS-PLOl-Z0-201要求,N/A,应满足
坡口确定,主管道制造厂,N/A,由
坡口确定,主管道图纸,N/A,依据
坡口确定,焊接工艺评定经验,N/A,依据
坡口方案,设计方,N/A,必须经认可
管道内表面粗糙度, 3.2um,N/A,不大于
管道外表面粗糙度, 6.3um,N/A,不大于
勺型件,图纸要求,N/A,制造依据
勺型件,ASME标准样式,N/A,制造依据
ASME标准样式,ASME SCH160 DN80 HALF PIPE CAP,N/A,具体型号
DN25接管座,热套管用接管座,N/A,与
焊接接头外形设计,制造厂,N/A,责任方
焊接接头外形设计,设计方,N/A,需批准
批准时间点,施焊前,N/A,在
焊接后外形尺寸,图纸要求,N/A,应满足
焊接对象,DN25接管座,N/A,包括
焊接对象,热套管用接管座,N/A,包括
焊接对象,主管道,N/A,包括
主管道,结构尺寸,N/A,具有属性
主管道,粗糙度,N/A,具有属性
结构尺寸,本规格书,N/A,应满足
结构尺寸,SMS-PL01-V0-D01,N/A,应满足
粗糙度,本规格书,N/A,应满足
粗糙度,SMS-PL01-V0-D01,N/A,应满足
SMS-PL01-V0-D01,反应堆主冷却剂管道图册,N/A,全称为
主管道水压试验,系统水压试验,NA,可由替代
制造厂,系统水压试验相关问题,NA,负责
主管道内表面,丙酮_蒸馏水_白布擦拭,NA,清洗方法
主管道外表面,丙酮_蒸馏水_白布擦拭,NA,清洗方法
清洗效果,白布无变色,NA,标准
干燥用压缩空气,去除油分,NA,要求
干燥用压缩空气,去除水分,NA,要求
其他清洗方法,采购方,NA,需取得认可
主管道,不适用,NA,防腐涂层要求
主管道包装要求,ASME_NQA1,NA,应符合
主管道包装要求,订货合同要求,NA,应符合
主管道包装,出厂试验后,NA,执行时机
主管道包装,清洁度检查后,NA,执行时机
主管道包装,洁净厂房,NA,执行环境
管道端口,木盏密封,NA,保护方式
木盏密封,聚乙烯薄膜,NA,使用材料
聚乙烯薄膜,<50ppm,NA,氯离子要求
主管道,聚乙烯膜缠绕,NA,包装方式
主管道,密封聚乙烯袋,NA,最终包装
包装主管道,木箱存放,NA,存放方式
木箱,牢固,NA,强度要求
木箱,防雨,NA,防护要求
木箱,防潮,NA,防护要求
木箱,发货清单,NA,包含内容
管段固定,上下左右固定,NA,要求
管段固定,防止吊装窜动,NA,目的
主管道贮存,洁净库房,NA,环境要求
木箱开启,需许可,NA,要求
木箱标识,中英文,NA,语言要求
木箱标识,设备名称,NA,包含内容
木箱标识,组装件名称,NA,包含内容
木箱标识,图号,NA,包含内容
木箱标识,重量,NA,包含内容
木箱标识,起吊位置,NA,包含内容
木箱标识,制造厂名,NA,包含内容
木箱标识,出厂日期,NA,包含内容
木箱标识,发货到货信息,NA,包含内容
包装过程,业主代表,NA,见证要求
主管道标识,ASME_BPVC III,NA,依据标准
标识方法,低应力冲压,NA,技术特征
标识方法,不连续点,NA,形成效果
冷段,端部垂直切面,NA,标识位置
热段,端部垂直切面,NA,标识位置
铭牌,不锈钢,NA,材料要求
铭牌,熔炼炉号,NA,包含信息
铭牌,序列号,NA,包含信息
铭牌,ASME材料等级,NA,包含信息
铭牌,制造厂名称,NA,包含信息
铭牌,壁厚测量值,NA,包含信息
壁厚测量,距末端17300mm,NA,位置要求
壁厚测量,0.001mm,NA,精度要求
壁厚测量,四象限测量,NA,角度要求
铭牌,与管道分离,NA,运输方式
铭牌焊接,加工工厂,NA,执行方
吊装设备,不损坏主管道,NA,材料要求
吊装设备,不损坏主管道,NA,设计要求
吊装操作,不沾污主管道,NA,方式要求
贮存环境,含卤素材料,NA,禁止接触
贮存环境,非奥氏体不锈钢,NA,禁止接触
贮存环境,非镍基铁基金属,NA,禁止接触
运输环境,含卤素材料,NA,禁止接触
运输环境,非奥氏体不锈钢,NA,禁止接触
运输环境,非镍基铁基金属,NA,禁止接触
存档材料要求,采购方,NA,制定方
存档材料要求,业主,NA,制定方
存档材料要求,采购合同,NA,依据
存档材料,数量要求,NA,包含内容
存档材料,尺寸要求,NA,包含内容
制造厂,业主质保大纲,NA,应遵照
制造厂,质保体系,NA,应建立
制造厂,QA大纲,NA,应制定
制造厂,程序文件,NA,应制定
制造厂,主管部门审查,NA,接受
制造厂,业主监查,NA,接受
质量计划,锻件图审查,NA,包含控制点
锻件图审查,H点,NA,控制点类型
质量计划,化学成分分析,NA,包含控制点
化学成分分析,R点,NA,控制点类型
质量计划,固溶处理前机加工,NA,包含控制点
固溶处理前机加工,W点,NA,控制点类型
质量计划,中间尺寸检查,NA,包含控制点
中间尺寸检查,H点,NA,控制点类型
质量计划,弯制,NA,包含控制点
弯制,W点,NA,控制点类型
质量计划,主管道热处理,NA,包含控制点
主管道热处理,W点,NA,控制点类型
质量计划,最终尺寸检查,NA,包含控制点
最终尺寸检查,H点,NA,控制点类型
质量计划,材料性能试验,NA,包含控制点
材料性能试验,R点,NA,控制点类型
质量计划,非常规力学试验,NA,包含控制点
非常规力学试验,W点,NA,控制点类型
质量计划,无损检测,NA,包含控制点
无损检测,R点,NA,控制点类型
质量计划,表面粗糙度检验,NA,包含控制点
表面粗糙度检验,R点,NA,控制点类型
质量计划,最终尺寸检验,NA,包含控制点
最终尺寸检验,W点,NA,控制点类型
质量控制点,工程总包方代表,NA,见证方
制造厂,分包制造,NA,采用
分包方文件,制造厂文件,NA,需转化为
制造厂文件,采购方,NA,需提交批准
制造厂,主管道加工图纸,NA,提交批准
制造厂,材料检验取样图,NA,提交批准
制造厂,管段装箱结构图,NA,提交批准
图纸提交,合同签订后,NA,时间要求
制造厂,质保大纲,NA,提交批准
质保大纲,制造厂,NA,包含
质保大纲,分包厂,NA,包含
制造厂,质量计划,NA,提交批准
制造厂,进度计划,NA,提交批准
制造厂,标准规范目录,NA,提交批准
材料文件,热处理工艺规程,NA,包含
材料文件,化学成分分析规程,NA,包含
材料文件,材料补焊规程,NA,包含
材料文件,机械性能试验规程,NA,包含
材料文件,非常规力学试验方案,NA,包含
材料文件,晶间腐蚀试验规程,NA,包含
材料文件,PT检验规程,NA,包含
材料文件,RT检验规程,NA,包含
材料文件,锻件UT检验规程,NA,包含
制造文件,机加工工艺规程,NA,包含
制造文件,表面粗糙度检验规程,NA,包含
制造文件,管道弯制规程,NA,包含
制造文件,尺寸检查规程,NA,包含
制造文件,焊接工艺规程,NA,包含
制造文件,焊工资格证明,NA,包含
制造文件,无损检验人员资格,NA,包含
制造文件,焊接材料质量证明,NA,包含
制造文件,焊缝PT检验规程,NA,包含
制造文件,焊缝UT检验规程,NA,包含
制造文件,焊缝RT检验规程,NA,包含
制造文件,焊缝补焊规程,NA,包含
制造文件,清洗工艺规程,NA,包含
制造文件,清洁度检验规程,NA,包含
制造文件,包装运输规程,NA,包含
制造厂,合同规定文件,NA,提交批准
文件提交,不限于上述,NA,范围说明
材料文件,需批准文件,NA,类别
制造文件,需批准文件,NA,类别
质保大纲,需批准文件,NA,类别
制造厂,质量合格证书,NA,交货时提交
制造厂,主管道交工清单,NA,交货时提交
制造厂,材料合格证,NA,交货时提交
制造厂,材料质量证明,NA,交货时提交
制造厂,热处理报告,NA,交货时提交
制造厂,真应力应变曲线,NA,交货时提交
制造厂,断裂韧性曲线,NA,交货时提交
制造厂,疲劳裂纹扩展报告,NA,交货时提交
制造厂,材料复验报告,NA,交货时提交
制造厂,PT检验报告,NA,交货时提交
制造厂,UT检验报告,NA,交货时提交
制造厂,RT检验报告,NA,交货时提交
制造厂,晶粒度报告,NA,交货时提交
制造厂,晶间腐蚀报告,NA,交货时提交
制造厂,冷作硬化层报告,NA,交货时提交
制造厂,硬度试验报告,NA,交货时提交
制造厂,焊接工艺报告,NA,交货时提交
制造厂,焊接材料证书,NA,交货时提交
制造厂,无损检验报告,NA,交货时提交
制造厂,补焊工艺报告,NA,交货时提交
制造厂,最终尺寸报告,NA,交货时提交
制造厂,出厂验收报告,NA,交货时提交
制造厂,包装发货记录,NA,交货时提交
制造厂,不符合项报告,NA,交货时提交
制造厂,合同规定文件,NA,交货时提交
制造厂,制造大纲,NA,合同签订后提交
制造大纲,采购方,NA,需设计方协助批准
制造厂,锻件图,NA,合同签订后提交
锻件图,采购方,NA,需设计方协助批准
制造厂,弯制工艺规程,NA,合同签订后提交
弯制工艺规程,采购方,NA,需设计方协助批准
技术条件_SMS-PL01-VL-001,焊接坡口方案,NA,要求提交
技术条件_SMS-PL01-VL-001,外形尺寸图,NA,要求提交
制造厂,焊接坡口方案,NA,提交设计方批准
制造厂,外形尺寸图,NA,提交设计方批准
制造厂,相关文件,NA,提交设计方批准
制造厂,相关图纸,NA,提交设计方批准
质量合格证书,需法人签署,NA,属性
焊接材料证书,焊丝,NA,包含
焊接材料证书,焊条,NA,包含
焊接材料证书,熔剂,NA,包含
制造厂,设备规格书,NA,依据
制造厂,设计图纸,NA,依据
制造厂,主管道加工制造,NA,执行
制造厂,内部验收,NA,进行
内部验收,合格,NA,结果
内部验收,主管道,NA,对象
制造厂,采购方,NA,与
制造厂,最终验收方案,NA,共同确定
采购方,最终验收方案,NA,共同确定
最终验收方案,验收方法,NA,包含
最终验收方案,验收要求,NA,包含
最终验收方案,验收地点,NA,包含
最终验收方案,有效期限,NA,包含
最终验收方案,合同要求,NA,依据
主管道验收,验收标准,NA,采用标准
验收标准,设备规格书,NA,参照
验收标准,技术条件,NA,参照
验收标准,设计图纸,NA,参照
验收标准,合同,NA,参照
验收标准,合同规定文件,NA,参照
